time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
816,10000,509843895.3776,62812,41.7903,30634.7700,261310140.0000,261801555.0620,261801555.0620,[1.4789] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149527517.3072
828,10000,509833748.1901,62642,2.7506,34329.9340,261310140.0000,261531498.4951,261531498.4951,[1.4804] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149530495.6186
840,10000,509854087.5162,62467,6.7159,32351.8840,261310140.0000,261571316.3332,261571316.3332,[1.4802] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524801.3958
852,10000,509845633.4934,62379,27.3862,31091.0567,261310140.0000,260802411.8134,260802411.8134,[1.4776] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149522012.1819
864,10000,509841165.5108,62506,28.3374,34798.5843,261310140.0000,261786144.6599,261786144.6599,[1.4790] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523244.9222
876,10000,509842721.6073,62637,33.1276,33128.6330,261310140.0000,261586943.9001,261586943.9001,[1.4801] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149528279.1003
888,10000,509843534.3418,62650,3.1931,35978.2478,261310140.0000,261779495.2855,261779495.2855,[1.4790] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149529171.0301
900,10000,509842458.9507,62664,3.0817,34286.1073,261310140.0000,261623527.4390,261623527.4390,[1.4799] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523981.5055
912,10000,509865073.9423,62936,0.9947,34877.8208,261310140.0000,261758196.4177,261758196.4177,[1.4791] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525189.6196
924,10000,509840079.8480,62760,13.7934,37044.1536,261310140.0000,261843271.9199,261843271.9199,[1.4787] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524247.4090
